Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Food and drink,satisfaction
Loyal Customer,13,Personal Travel,Eco Plus,460,3,3,5,neutral or dissatisfied
disloyal Customer,25,Business travel,Business,235,3,3,1,neutral or dissatisfied
Loyal Customer,26,Business travel,Business,1142,2,2,5,satisfied
Loyal Customer,25,Business travel,Business,562,2,5,2,neutral or dissatisfied
Loyal Customer,61,Business travel,Business,214,3,3,4,satisfied
Loyal Customer,26,Personal Travel,Eco,1180,3,2,1,neutral or dissatisfied
Loyal Customer,47,Personal Travel,Eco,1276,2,2,2,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,2035,4,4,5,satisfied
Loyal Customer,41,Business travel,Business,853,1,2,4,neutral or dissatisfied
disloyal Customer,20,Business travel,Eco,1061,3,3,2,neutral or dissatisfied
disloyal Customer,24,Business travel,Eco,1182,4,5,2,neutral or dissatisfied
Loyal Customer,12,Personal Travel,Eco Plus,308,2,2,1,neutral or dissatisfied
Loyal Customer,53,Business travel,Eco,834,1,4,1,neutral or dissatisfied
Loyal Customer,33,Personal Travel,Eco,946,4,4,4,satisfied
Loyal Customer,26,Personal Travel,Eco,453,3,3,2,neutral or dissatisfied
disloyal Customer,13,Business travel,Eco,486,2,2,4,neutral or dissatisfied
Loyal Customer,26,Business travel,Business,2123,3,3,4,satisfied
Loyal Customer,41,Business travel,Business,2075,4,2,4,satisfied
Loyal Customer,45,Business travel,Business,2486,4,4,3,satisfied
Loyal Customer,38,Personal Travel,Eco,460,2,3,5,neutral or dissatisfied
Loyal Customer,9,Business travel,Eco,1174,2,2,2,neutral or dissatisfied
Loyal Customer,17,Personal Travel,Eco,208,3,3,5,neutral or dissatisfied
Loyal Customer,43,Personal Travel,Eco,752,3,3,5,neutral or dissatisfied
Loyal Customer,58,Personal Travel,Eco,2139,4,4,4,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,452,5,5,1,satisfied
Loyal Customer,57,Personal Travel,Eco,719,4,4,5,neutral or dissatisfied
Loyal Customer,33,Business travel,Business,1561,1,1,1,satisfied
Loyal Customer,49,Business travel,Eco Plus,315,4,4,2,satisfied
Loyal Customer,36,Business travel,Business,3347,3,1,1,neutral or dissatisfied
Loyal Customer,22,Personal Travel,Eco,2342,3,3,3,neutral or dissatisfied
Loyal Customer,31,Business travel,Business,819,4,4,5,satisfied
disloyal Customer,15,Business travel,Eco,1043,2,2,5,neutral or dissatisfied
Loyal Customer,35,Business travel,Business,2611,4,4,4,satisfied
Loyal Customer,67,Personal Travel,Eco,1192,4,4,2,neutral or dissatisfied
disloyal Customer,37,Business travel,Business,1182,3,3,1,neutral or dissatisfied
Loyal Customer,40,Business travel,Eco,349,1,4,1,neutral or dissatisfied
disloyal Customer,34,Business travel,Business,883,3,4,5,neutral or dissatisfied
Loyal Customer,40,Personal Travel,Eco Plus,550,4,4,2,neutral or dissatisfied
